"Country or Area","Year","Value","Value Footnotes"
"Singapore","2018","101531.630228067",""
"Singapore","2017","96552.6026072062",""
"Singapore","2016","91452.0427299716",""
"Singapore","2015","89007.4608024746",""
"Singapore","2014","86611.5135863887",""
"Singapore","2013","82881.4069989837",""
"Singapore","2012","78978.8228536234",""
"Singapore","2011","76034.3340635206",""
"Singapore","2010","71565.9997287192",""
"Singapore","2009","62873.4947498107",""
"Singapore","2008","64230.6359583062",""
"Singapore","2007","65230.1084404423",""
"Singapore","2006","60745.4558738742",""
"Singapore","2005","55809.7003194936",""
"Singapore","2004","51612.824214013",""
"Singapore","2003","46342.2964961141",""
"Singapore","2002","42886.1810521027",""
"Singapore","2001","41000.4184287728",""
"Singapore","2000","41662.7436718693",""
"Singapore","1999","38026.4492244402",""
"Singapore","1998","35740.227354043",""
"Singapore","1997","37384.4370075373",""
"Singapore","1996","35086.4150050256",""
"Singapore","1995","33390.0770275126",""
"Singapore","1994","31448.4654931892",""
"Singapore","1993","28598.3233851199",""
"Singapore","1992","25705.5850747798",""
"Singapore","1991","24286.7814728311",""
"Singapore","1990","22655.1186723155",""
"United States","2018","62794.5856522398",""
"United States","2017","59927.9298339535",""
"United States","2016","57904.2019610641",""
"United States","2015","56803.4724334919",""
"United States","2014","55032.9579979166",""
"United States","2013","53106.9097703155",""
"United States","2012","51603.4972614412",""
"United States","2011","49883.1139837344",""
"United States","2010","48466.8233750801",""
"United States","2009","47099.9804711343",""
"United States","2008","48382.5584490552",""
"United States","2007","47975.9676758856",""
"United States","2006","46298.7314440927",""
"United States","2005","44114.7477776705",""
"United States","2004","41712.8010675545",""
"United States","2003","39496.4858751381",""
"United States","2002","38023.1611144021",""
"United States","2001","37133.2428088526",""
"United States","2000","36334.9087770589",""
"United States","1999","34513.5615037271",""
"United States","1998","32853.6769849268",""
"United States","1997","31459.139002483",""
"United States","1996","29967.7127181749",""
"United States","1995","28690.8757013347",""
"United States","1994","27694.853416234",""
"United States","1993","26387.2937338171",""
"United States","1992","25418.9907763319",""
"United States","1991","24342.2589048189",""
"United States","1990","23888.6000088133",""

